IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2022,TRUE,Sex,Male,SEX_MLE,,,,,,,,,,70.64,,,70.43,,70.9,70.6 [70.4-70.9],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2022,TRUE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,72.81,,,72.63,,73.04,72.8 [72.6-73.0],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2022,TRUE,Sex,Female,SEX_FMLE,,,,,,,,,,75.32,,,75.18,,75.61,75.3 [75.2-75.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2022,TRUE,Sex,Male,SEX_MLE,,,,,,,,,,17.35,,,17.14,,17.61,17.4 [17.1-17.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2022,TRUE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,18.35,,,18.15,,18.56,18.3 [18.2-18.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2022,TRUE,Sex,Female,SEX_FMLE,,,,,,,,,,19.47,,,19.3,,19.7,19.5 [19.3-19.7],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,75.5,,,75.45,,75.59,75.5 [75.4-75.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,76.79,,,76.75,,76.89,76.8 [76.8-76.9],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,78.61,,,78.58,,78.72,78.6 [78.6-78.7],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,21.36,,,21.33,,21.4,21.4 [21.3-21.4],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,21.5,,,21.49,,21.55,21.5 [21.5-21.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,22.11,,,22.1,,22.17,22.1 [22.1-22.2],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,72.71,,,72.67,,72.82,72.7 [72.7-72.8],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.68,,,74.64,,74.78,74.7 [74.6-74.8],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,76.99,,,76.96,,77.09,77.0 [77.0-77.1],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,18.97,,,18.95,,19.01,19.0 [18.9-19.0],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.8,,,19.78,,19.84,19.8 [19.8-19.8],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,20.79,,,20.79,,20.84,20.8 [20.8-20.8],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2018,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,72.61,,,72.56,,72.72,72.6 [72.6-72.7],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2018,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.53,,,74.49,,74.63,74.5 [74.5-74.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2018,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,76.81,,,76.78,,76.91,76.8 [76.8-76.9],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2018,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,18.98,,,18.96,,19.02,19.0 [19.0-19.0],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2018,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.69,,,19.68,,19.74,19.7 [19.7-19.7],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2018,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,20.61,,,20.6,,20.66,20.6 [20.6-20.7],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2017,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,72.68,,,72.65,,72.78,72.7 [72.7-72.8],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2017,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.4,,,74.38,,74.49,74.4 [74.4-74.5],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2017,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,76.49,,,76.48,,76.59,76.5 [76.5-76.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2017,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,19.06,,,19.04,,19.1,19.1 [19.0-19.1],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2017,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.58,,,19.57,,19.62,19.6 [19.6-19.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2017,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,20.33,,,20.33,,20.38,20.3 [20.3-20.4],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2016,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,72.58,,,72.55,,72.67,72.6 [72.5-72.7],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2016,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.42,,,74.4,,74.51,74.4 [74.4-74.5],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2016,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,76.66,,,76.64,,76.75,76.7 [76.6-76.8],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2016,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,18.99,,,18.97,,19.03,19.0 [19.0-19.0],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2016,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.59,,,19.58,,19.64,19.6 [19.6-19.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2016,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,20.43,,,20.43,,20.48,20.4 [20.4-20.5],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2015,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,72.49,,,72.46,,72.59,72.5 [72.5-72.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2015,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.28,,,74.25,,74.37,74.3 [74.2-74.4],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2015,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,76.44,,,76.41,,76.52,76.4 [76.4-76.5],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2015,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,18.84,,,18.82,,18.87,18.8 [18.8-18.9],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2015,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.4,,,19.39,,19.44,19.4 [19.4-19.4],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2015,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,20.2,,,20.19,,20.24,20.2 [20.2-20.2],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2014,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,72.94,,,72.91,,73.03,72.9 [72.9-73.0],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2014,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.65,,,74.63,,74.74,74.6 [74.6-74.7],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2014,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,76.72,,,76.7,,76.81,76.7 [76.7-76.8],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2014,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,19.08,,,19.07,,19.13,19.1 [19.1-19.1],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2014,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.58,,,19.57,,19.63,19.6 [19.6-19.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2014,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,20.31,,,20.3,,20.36,20.3 [20.3-20.4],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2013,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,73.06,,,72.82,,73.37,73.1 [72.8-73.4],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2013,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.72,,,74.52,,74.98,74.7 [74.5-75.0],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2013,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,76.74,,,76.56,,76.98,76.7 [76.6-77.0],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2013,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,19.14,,,18.88,,19.41,19.1 [18.9-19.4],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2013,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.61,,,19.4,,19.89,19.6 [19.4-19.9],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2013,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,20.31,,,20.14,,20.51,20.3 [20.1-20.5],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2012,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,72.76,,,72.75,,72.84,72.8 [72.7-72.8],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2012,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.62,,,74.6,,74.69,74.6 [74.6-74.7],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2012,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,76.74,,,76.73,,76.83,76.7 [76.7-76.8],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2012,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,18.78,,,18.77,,18.83,18.8 [18.8-18.8],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2012,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.48,,,19.46,,19.52,19.5 [19.5-19.5],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2012,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,20.28,,,20.27,,20.33,20.3 [20.3-20.3],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2011,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,72.28,,,71.93,,72.64,72.3 [71.9-72.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2011,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.23,,,73.91,,74.53,74.2 [73.9-74.5],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2011,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,76.44,,,76.25,,76.75,76.4 [76.3-76.8],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2011,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,18.34,,,17.98,,18.7,18.3 [18.0-18.7],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2011,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.13,,,18.82,,19.5,19.1 [18.8-19.5],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2011,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,20,,,19.79,,20.3,20.0 [19.8-20.3],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2010,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,72.07,,,71.74,,72.41,72.1 [71.7-72.4],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2010,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.03,,,73.76,,74.38,74.0 [73.8-74.4],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2010,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,76.24,,,76.01,,76.55,76.2 [76.0-76.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2010,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,18.16,,,17.79,,18.56,18.2 [17.8-18.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2010,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,18.95,,,18.66,,19.23,18.9 [18.7-19.2],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2010,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,19.79,,,19.57,,20.1,19.8 [19.6-20.1],,,EN,2024-08-01T16:00:00.000Z